VNIR1_savg,NIR_savg,VNIR2_INTP,EVI_INTP,NIR_INTP,NIR,SWIR1_savg,EVI_savg,VNIR3_INTP,EVI2,VNIR1,VNIR1_INTP,SWIR1,VNIR2,VNIR2_savg,SWIR1_INTP,NIR_diss,SWIR2_savg,ELEVATION,RED_savg,EVI,VNIR3,VNIR3_savg,EVI2_savg,GREEN_savg,GREEN_INTP,NIR_contrast,NIR_dent,NBR_savg,NDVI_INTP,RED,GREEN,NIR_inertia,GREEN_idm,NIR_idm,BLUE_savg,NBR,NBR_INTP,EVI2_INTP,SWIR2,SWIR2_INTP,VNIR1_COS,GREEN_contrast,NDVI_savg,NIR_ent,SWIR2_SIN,NIR_dvar,GREEN_ent,GREEN_inertia,NIR_asm,SWIR1_RMSE,GREEN_diss,TREE_COVER,SWIR2_dent,NDVI_shade,SWIR1_COS,BLUE,GREEN_RMSE,GREEN_dent,RAINFALL,VNIR3_dvar,NDVI,ASPECT,SWIR2_shade,EVI2_shade,VNIR3_inertia,NBR_shade,x,y,polygonID,Class,Classname
72.523865,128.31386,0.20270333,0.34419957,0.24540663,0.21110001,145.91954,318.865,0.2442696,0.20364359,0.1326,0.11210523,0.2764,0.1858,106.79682,0.25108147,3.789318,99.983185,30.0,51.225227,0.20448513,0.2138,123.35705,318.2593,40.200684,0.058219887,24.370228,2.306702,285.02524,0.62400544,0.0949,0.06965,24.370228,0.37248528,0.24031597,24.798182,0.062710464,0.2263855,0.34643218,0.19365,0.15796016,-0.01607382,7.668409,362.92273,4.875653,0.0,9.765354,4.411309,7.668409,0.009148244,0.022290839,2.0961363,55.0,2.1727748,33115.188,-0.032144375,0.0428,0.017055709,1.7822589,2440.0,7.4711833,0.38578373,230.20787,-3062.306,8824.13,12.605227,38252.555,-15.217775323334134,11.346755101006291,1321,6,Non-Forest
74.57386,129.99908,0.2399845,0.3783578,0.31127527,0.2523,148.28568,318.395,0.28854528,0.20578972,0.1759,0.13507456,0.33305,0.2178,108.26477,0.28411928,3.7204545,101.879776,30.0,53.250683,0.20396805,0.24585,124.737045,317.59137,41.55841,0.0745126,24.477728,2.3142865,283.8168,0.5669891,0.13409999,0.0918,24.477728,0.3939966,0.27195528,25.668863,0.007930775,0.26880398,0.37581256,0.24375,0.18259026,-0.017190201,7.705682,360.78,4.790932,0.0045873183,10.276616,4.4599466,7.705682,0.01009969,0.024155725,2.0565908,56.0,2.17387,42571.21,-0.02185083,0.05915,0.01322285,1.7853122,2440.0,6.006281,0.32525775,230.20787,-5278.8813,11669.297,10.616137,54984.977,-15.21795498639096,11.346665269477882,1321,6,Non-Forest
73.192955,130.63045,0.23108621,0.38453302,0.29736388,0.2447,145.69295,320.55386,0.27295974,0.19096564,0.1542,0.12897687,0.30825,0.2104,108.892044,0.26929858,3.8472726,99.54432,30.0,51.38909,0.18888032,0.23855,125.83159,319.8675,40.615456,0.070396595,25.38409,2.3324707,287.58978,0.55494493,0.1254,0.09045,25.38409,0.38442165,0.25671127,24.977728,0.038843032,0.25320157,0.3804247,0.22475,0.16933545,0.0,7.8554544,364.5716,4.8367696,0.04903833,10.170638,4.431062,7.8554544,0.009325,0.018391663,2.095,56.0,2.1438105,40330.668,0.0,0.0554,0.010363915,1.798082,2440.0,6.2081103,0.31950212,230.20787,-4506.302,11491.716,11.0597725,53626.11,-15.217865154862547,11.346665269477882,1321,6,Non-Forest
71.16068,131.01886,0.22056493,0.32474563,0.26026535,0.2386,142.07568,322.7691,0.2644438,0.19798464,0.1542,0.12611975,0.30825,0.2104,108.90409,0.27056408,3.8625,96.218185,30.0,49.180225,0.20246091,0.23855,126.28954,322.2707,39.448635,0.0648865,25.281136,2.3304305,292.52612,0.5616409,0.1169,0.08485,25.281136,0.38315138,0.24665864,24.058636,0.022202967,0.21527493,0.32832727,0.22475,0.16924003,-0.010270172,7.739091,368.90182,4.879019,0.010294279,10.012588,4.4070168,7.739091,0.008844938,0.028071659,2.0845454,56.0,2.2056696,34122.656,-0.018011656,0.05425,0.017429173,1.7923304,2440.0,7.754118,0.33539298,230.20787,-3013.4304,9964.935,13.395454,45405.152,-15.217775323334134,11.346665269477882,1321,6,Non-Forest
73.76114,132.27682,0.23926583,0.3100599,0.27981248,0.2617,145.29546,321.69772,0.28750223,0.18603495,0.1759,0.13509348,0.33305,0.2178,110.07046,0.28347164,3.8472726,99.2275,30.0,51.414318,0.18421766,0.24585,127.152725,320.93,40.91318,0.07578048,25.707727,2.3263545,289.55365,0.5070483,0.1413,0.1037,25.707727,0.38590848,0.26008835,24.966364,0.018159721,0.22058584,0.31290135,0.24375,0.18198824,-0.017115358,8.465454,365.72818,4.852323,0.005091153,10.489868,4.5287285,8.465454,0.009201033,0.024246251,2.154091,56.0,2.0642996,48509.78,-0.020674443,0.0679,0.013202024,1.829703,2440.0,6.1802325,0.29718426,230.20787,-5954.0083,14282.577,10.785909,64089.605,-15.21795498639096,11.346575437949468,1321,6,Non-Forest
72.14659,133.23409,0.23140828,0.36907747,0.29174343,0.2565,142.33273,324.49658,0.2734671,0.2056044,0.1542,0.12883587,0.30825,0.2104,110.88591,0.26933184,3.990909,96.391136,30.0,49.26682,0.21175049,0.23855,128.55,323.865,39.85,0.070970975,26.715454,2.3449423,294.27524,0.5657537,0.122,0.09035,26.715454,0.3813368,0.24249795,24.169773,0.061646637,0.25333175,0.37210432,0.22475,0.16931716,0.0,8.464545,370.4282,4.9003477,0.049027283,10.333238,4.4678698,8.464545,0.008582335,0.016855098,2.1636364,56.0,2.0463326,40675.785,0.0,0.05735,0.009897847,1.8318119,2440.0,6.3712077,0.3286783,230.20787,-4178.1826,12642.781,11.251364,56655.1,-15.217865154862547,11.346575437949468,1321,6,Non-Forest
69.94068,133.88364,0.23108621,0.3501199,0.27408454,0.2546,138.50887,327.23795,0.27295974,0.23258021,0.1542,0.12897687,0.30825,0.2104,111.04045,0.26929858,4.058182,92.71568,30.0,46.795,0.23242009,0.23855,129.2316,326.8016,38.572273,0.06869,27.291363,2.3588529,299.88318,0.57211894,0.1076,0.0822,27.291363,0.38908672,0.23311464,23.17091,0.049296904,0.22337107,0.35215178,0.22475,0.16933545,0.0,8.194546,375.5184,4.921173,0.04903833,10.423101,4.4243813,8.194546,0.008446384,0.018391663,2.115,56.0,2.1199408,28072.582,0.0,0.0552,0.0103846695,1.8186127,2440.0,8.155681,0.38449666,230.20787,-1689.9685,9432.131,14.038863,41712.676,-15.217775323334134,11.346575437949468,1321,6,Non-Forest
67.50046,149.29659,0.24997738,0.47007403,0.29210308,0.298,103.12727,357.0302,0.28416985,0.41199818,0.1316,0.113852374,0.1975,0.254,127.76363,0.18432774,3.4652274,55.786366,27.0,30.87,0.4038533,0.2974,145.87364,356.06772,36.103863,0.06393404,19.9925,2.2039073,370.12274,0.74920803,0.0593,0.0738,19.9925,0.6586591,0.26879004,15.8779545,0.48534203,0.5456152,0.45387912,0.1027,0.08892658,-0.0134738805,1.0088637,419.52478,4.8871026,0.007967998,7.489809,2.5209496,1.0088637,0.008559608,0.01034686,0.73704547,29.0,1.3922592,-6559.687,-0.020499954,0.0316,0.010607405,0.9753368,2261.0,6.534311,0.658025,230.20787,193.88792,-2226.6467,11.600454,-5896.979,-15.230531400368632,11.5625304322518,1456,2,Open Forest
67.76159,151.6959,0.24982883,0.4352158,0.27550808,0.2812,102.57773,359.36636,0.28486863,0.38907027,0.1316,0.1146898,0.1975,0.254,129.96523,0.18509947,3.590909,55.06227,27.0,30.263636,0.3929049,0.2974,148.2941,358.54794,36.377045,0.06104818,21.058182,2.2302468,373.07205,0.7317434,0.0598,0.0698,21.058182,0.6579773,0.25535375,15.722273,0.46845505,0.5268633,0.42488524,0.1027,0.08952289,-0.013806018,1.0156819,422.25067,4.8675284,0.0071282163,7.610925,2.6064773,1.0156819,0.008769422,0.010651363,0.7393182,28.0,1.4485677,-5649.8223,-0.020393448,0.0327,0.010931648,0.9845399,2261.0,7.7173553,0.6511085,230.20787,150.88719,-2350.069,13.623636,-4851.493,-15.23044156884022,11.5625304322518,1456,2,Open Forest
68.20705,153.67636,0.2614696,0.4573062,0.28736842,0.2938,102.405,361.0457,0.29711837,0.41659617,0.1304,0.11969359,0.1962,0.2707,132.03705,0.18450181,3.5286365,54.727726,26.0,29.964317,0.42358094,0.3065,150.53046,360.4091,36.76523,0.0623549,20.416819,2.2140205,374.99432,0.75270075,0.0543,0.068,20.416819,0.6644318,0.25799572,15.680682,0.4969265,0.5458705,0.44530556,0.1003,0.087213606,-0.013044593,0.9793182,424.1125,4.8244495,0.0055785105,7.4255214,2.6807642,0.9793182,0.009157025,0.010216014,0.7225,28.0,1.4267373,-2971.981,-0.016171735,0.0316,0.010786325,0.9753929,2261.0,7.90359,0.6880093,230.20787,95.66307,-1480.8339,14.089091,-2749.65,-15.230351737311809,11.5625304322518,1456,2,Open Forest
